name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
y_rep[27],-1.8983,0.0259416,1.67431,-4.53849,-1.9086599999999998,0.846966,4165.59,2640.4,0.999657
y_rep[28],-1.34207,0.031016200000000004,1.6737400000000002,-4.05012,-1.36963,1.39783,2912.04,1845.83,1.00152
y_rep[29],0.00407508,0.025463,1.6687400000000001,-2.75779,0.011002,2.56815,4294.95,2722.39,1.00007
y_rep[30],-2.7751099999999997,0.026512099999999997,1.62568,-5.35365,-2.81093,-0.12493,3759.96,2383.29,1.00063
y_rep[31],0.117749,0.0252709,1.65665,-2.47052,0.0632278,2.88547,4297.55,2724.04,0.999368
y_rep[32],-1.24895,0.0267072,1.62941,-3.76019,-1.30261,1.4011200000000001,3722.22,2359.37,1.0002799999999998
y_rep[33],-0.217712,0.027548900000000005,1.68376,-3.0005900000000003,-0.157336,2.35725,3735.55,2367.81,1.0005
y_rep[34],0.651137,0.0279353,1.61998,-2.04676,0.674495,3.2551,3362.92,2131.62,1.00076
y_rep[35],-0.987807,0.025847199999999997,1.6078700000000001,-3.5017300000000002,-1.03554,1.64769,3869.65,2452.81,1.00053
y_rep[36],-1.46116,0.029983600000000003,1.7465700000000002,-4.16224,-1.4923799999999998,1.49009,3393.16,2150.79,1.00023
y_rep[37],1.89035,0.0251362,1.63956,-0.775938,1.9260400000000002,4.5349699999999995,4254.56,2696.79,1.00061
y_rep[38],-0.381266,0.024681400000000003,1.59267,-2.95894,-0.38810900000000004,2.1621799999999998,4164.04,2639.42,0.999934
y_rep[39],2.06068,0.026630200000000003,1.6369,-0.6223350000000001,2.084,4.70099,3778.29,2394.9,1.00022
y_rep[40],0.691858,0.0248872,1.60763,-1.7766099999999998,0.6426189999999999,3.26615,4172.77,2644.95,1.0004
y_rep[41],-1.6208799999999999,0.0286721,1.6672799999999999,-4.29617,-1.63224,1.03997,3381.43,2143.35,1.00041
y_rep[42],0.376463,0.0278988,1.63514,-2.2297700000000003,0.39467199999999997,2.9449,3435.1,2177.37,0.999434
y_rep[43],0.6721090000000001,0.027592000000000002,1.68639,-1.99527,0.688695,3.3686800000000003,3735.52,2367.79,1.0005600000000001
y_rep[44],1.1042,0.024988200000000002,1.63832,-1.50019,1.08692,3.6471,4298.62,2724.72,0.999509
y_rep[45],-1.1648399999999999,0.0311226,1.7017799999999998,-3.92384,-1.17802,1.6445400000000001,2989.9,1895.18,1.0007700000000002
y_rep[46],-0.766351,0.0258764,1.63231,-3.25812,-0.778251,1.8877599999999999,3979.19,2522.25,1.0
y_rep[47],-0.6979310000000001,0.024803099999999998,1.6302299999999998,-3.3984199999999998,-0.7074020000000001,1.86612,4320.02,2738.28,0.999662
y_rep[48],0.259103,0.0248793,1.61923,-2.34687,0.284314,2.83949,4235.87,2684.94,0.999884
